Chelsea_Points,Man United_Points,Arsenal_Points,Man City_Points
59.0,51.0,53.0,44.0
59.0,52.0,53.0,44.0
59.0,52.0,53.0,44.0
59.0,52.0,53.0,47.0
59.0,52.0,53.0,47.0
62.0,52.0,53.0,47.0
62.0,52.0,53.0,47.0
62.0,52.0,50.0,47.0
62.0,52.0,50.0,47.0
62.0,52.0,50.0,47.0
62.0,52.0,50.0,47.0
62.0,52.0,50.0,47.0
62.0,55.0,50.0,44.0
62.0,55.0,50.0,44.0
62.0,55.0,50.0,44.0
59.0,55.0,50.0,44.0
59.0,55.0,50.0,44.0
59.0,55.0,47.0,44.0
59.0,55.0,47.0,44.0
59.0,55.0,47.0,44.0
59.0,55.0,48.0,45.0
59.0,55.0,48.0,45.0
59.0,55.0,48.0,45.0
59.0,58.0,48.0,45.0
59.0,58.0,48.0,45.0
59.0,58.0,48.0,45.0
59.0,58.0,48.0,45.0
59.0,58.0,48.0,45.0
62.0,58.0,48.0,45.0
62.0,58.0,48.0,45.0
62.0,58.0,48.0,45.0
62.0,58.0,48.0,48.0
62.0,58.0,48.0,48.0
62.0,58.0,48.0,48.0
62.0,58.0,48.0,48.0
62.0,58.0,48.0,48.0
65.0,58.0,48.0,48.0
65.0,61.0,48.0,48.0
65.0,61.0,45.0,48.0
65.0,61.0,45.0,48.0
65.0,61.0,45.0,48.0
65.0,61.0,45.0,45.0
65.0,61.0,48.0,45.0
65.0,61.0,48.0,45.0
65.0,61.0,48.0,45.0
65.0,61.0,48.0,45.0
68.0,61.0,48.0,45.0
68.0,61.0,48.0,45.0
68.0,61.0,48.0,45.0
68.0,64.0,48.0,45.0
68.0,64.0,48.0,46.0
68.0,64.0,48.0,46.0
